Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Urban population,SP.URB.TOTL,Algeria,DZA,24217375,24935851,25678117,26439316,27217778,28015534,28826081,29639704,30451166,31255632,32038217
Urban population,SP.URB.TOTL,Morocco,MAR,18835465,19275316,19725140,20180706,20636838,21088840,21541817,21994745,22437808,22869599,23309111
Urban population,SP.URB.TOTL,Kenya,KEN,9786183,10219218,10658602,11105820,11559254,12021155,12502904,13001604,13502378,14015215,14553419
Urban population,SP.URB.TOTL,Ghana,GHA,12969707,13468281,13986163,14519202,15062212,15615136,16180685,16745249,17306081,17875345,18455138
Urban population,SP.URB.TOTL,Tanzania,TZA,12682374,13366889,14093565,14872630,15703729,16612464,17589735,18597942,19620628,20656040,21736651
Urban population,SP.URB.TOTL,Peru,PER,22340162,22584945,22848874,23126579,23425055,23757776,24140046,24563784,25089127,25635888,26076625
Urban population,SP.URB.TOTL,Bolivia,BOL,6791318,6952386,7114992,7273140,7428682,7584842,7741971,7899666,8058094,8217386,8369995
Rural population,SP.RUR.TOTL,Algeria,DZA,11638969,11607690,11582446,11561310,11542390,11527620,11513248,11496842,11475841,11449736,11413449
Rural population,SP.RUR.TOTL,Morocco,MAR,13629400,13628383,13627029,13622821,13611765,13591618,13565447,13533370,13489703,13434809,13379661
Rural population,SP.RUR.TOTL,Kenya,KEN,31731712,32415926,33067204,33686548,34272609,34830333,35391766,35946533,36450926,36936235,37432361
Rural population,SP.RUR.TOTL,Ghana,GHA,12605012,12737660,12872599,13006395,13134146,13255803,13373618,13477013,13564560,13646945,13725263
Rural population,SP.RUR.TOTL,Tanzania,TZA,32428153,33049142,33692572,34381013,35110823,35930359,36812067,37669090,38469815,39216539,39967867
Rural population,SP.RUR.TOTL,Peru,PER,6889410,6892776,6900715,6912230,6928896,6954087,6992733,7041702,7114817,7188973,7228131
Rural population,SP.RUR.TOTL,Bolivia,BOL,3431952,3443860,3454705,3470209,3488305,3505243,3521044,3535867,3548811,3559929,3566167
Access to electricity (% of population),EG.ELC.ACCS.ZS,Algeria,DZA,98.9109039306641,99.0026550292969,98.7646604654583,99.1879272460938,99.2745513916016,99.3561935424805,99.4336929321289,99.5300216674805,99.6377410888672,99.5,99.7187728881836
Access to electricity (% of population),EG.ELC.ACCS.ZS,Morocco,MAR,95.7257232666016,96.0747833251953,96.4400863647461,97.2,97.2789535522461,97.3,97.8,100,98.1,99.6,100
Access to electricity (% of population),EG.ELC.ACCS.ZS,Kenya,KEN,19.2,36.1578636169434,38.1259918212891,40.0921516418457,36,41.6,53.1,55.8319931030273,61.1806144714355,69.7,71.4927139282227
Access to electricity (% of population),EG.ELC.ACCS.ZS,Ghana,GHA,64.2,64.06256,56.51,70.7,78.3,74.0002670288086,79.3,79,80.4,83.5,85.4405670166016
Access to electricity (% of population),EG.ELC.ACCS.ZS,Tanzania,TZA,14.8,14.2,15.3,16.4,23.5,26.2212181091309,32.8,32.0970230102539,34.9296112060547,37.7,39.9
Access to electricity (% of population),EG.ELC.ACCS.ZS,Peru,PER,88.123061,89.707491,91.099508,92.135365,92.919989,93.852179,94.2,94.8,95.2,95.551360223182,96.2
Access to electricity (% of population),EG.ELC.ACCS.ZS,Bolivia,BOL,87.9524154663086,88.335943,90.387375,89.505686,90.038729,91.522822,91.8,91.8,92.8,95.08,97.2218170166016
Individuals using the Internet (% of population),IT.NET.USER.ZS,Algeria,DZA,12.5,14.9,18.2,22.5,29.5,38.2,42.94552688,47.69105515,49.03846808,58.97757455,63.94999611
Individuals using the Internet (% of population),IT.NET.USER.ZS,Morocco,MAR,52,46.1074826,55.41605319,56,56.8,57.07999935,58.27123642,61.76221201,64.80386519,84.12036305,84.12036305
Individuals using the Internet (% of population),IT.NET.USER.ZS,Kenya,KEN,7.2,8.8,10.5,13,16.5,16.58785485,16.6,17.82710021,19.5,22.66877336,25.53293999
